black,hispanic,married,education,treat,age,re74,re75,re78
0,1,1,12,0,35,27646.661044581582,34482.125746620906,26050.144512030434
0,0,1,14,0,33,10708.544719431038,5704.139942953858,4668.659412667286
0,0,1,17,1,31,10225.994135142222,17062.19736570588,30973.49574039667
0,0,1,17,1,34,27502.97550362235,34597.220918519786,38724.12979679197
1,0,0,9,0,29,10315.099991123981,0.0,12428.676777442204
1,0,1,7,1,42,23773.677277835337,16246.436067201475,30155.779981792937
0,0,1,10,1,39,37837.8956343951,32455.520863171834,44194.858081545244
0,0,1,12,1,18,23819.860501266052,36192.02519964334,48128.956125024044
0,0,0,14,1,38,28756.395725518676,26820.909721964126,30828.26665914378
0,0,0,14,0,20,12831.187058993837,23272.363829109017,41889.08229426081
1,0,1,14,1,20,22531.637880808208,14289.882160079365,27051.11169399712
0,1,0,10,0,30,14586.142269085947,5999.992302561606,3701.6327728320975
0,0,1,15,1,34,41204.67217292184,38453.10200303956,32516.472032295045
0,1,1,12,0,27,33838.27449780274,24411.31103524271,23643.024764922175
0,0,1,13,1,30,6941.552396381136,0.0,5037.991512117529
1,0,1,10,0,28,13106.499035698536,11981.086342014114,7490.073742357034
0,0,1,18,1,31,15472.879933452165,23630.384230861924,24899.987615688195
1,0,0,10,0,33,5870.472612609436,13935.114261963447,19616.149701716353
0,0,1,17,1,39,45999.33557264863,43763.74563316055,52026.77168427215
0,0,0,15,0,18,19091.697696725998,9955.218196315775,11998.559470900796
0,0,1,9,1,41,18675.547351712925,25883.02553203344,46016.694029090344
1,0,1,13,1,49,27903.993106169764,17213.803109989283,34590.759661652264
0,0,1,12,1,39,35902.83861952338,37656.108774975255,33192.133430088055
0,0,1,12,0,39,4390.89644335187,0.0,0.0
0,0,1,15,0,36,55547.655074169066,27350.629997108717,39328.22224073905
1,0,1,9,0,40,25598.93223028812,21321.925398193573,36203.163888663345
1,0,1,8,1,33,0.0,0.0,4707.568471862077
0,0,0,14,0,22,0.0,7497.66507007566,24628.276057668932
1,0,1,9,0,34,8645.942899958958,14128.6940133859,21074.97258820406
1,0,0,10,1,39,27393.168048851476,26671.722983104577,26108.00595601314
0,0,1,15,1,25,17459.535187642858,24582.448635296318,32876.49381770545
0,0,1,9,0,44,0.0,8108.38140640862,0.0
0,0,1,14,0,45,57313.34669815979,48941.48969719499,63317.45900369401
0,0,0,16,1,43,38271.07421663039,31514.75052723415,41823.69101969838
0,0,1,10,0,48,8734.266613434133,21842.652257065267,36077.88884040929
0,0,1,15,0,31,24487.32578189613,22568.77065835087,1651.0079358406947
0,0,1,11,1,41,20833.242836251695,21457.047182860897,4615.65164666937
0,0,1,14,0,40,12790.099146303035,11065.880091704625,19735.031349649053
1,0,1,6,1,47,11267.796107789218,11251.659872230324,27944.46367755303
0,0,1,12,1,45,27513.493830885014,23991.840914974826,20486.240006142227
0,0,1,11,0,30,21819.11715862487,18496.649723185215,46125.329199835745
0,0,1,10,0,37,38473.15523242294,25104.053481680858,28356.763485965505
0,0,1,10,1,32,24826.39925392622,16473.143474165125,13635.081402752996
0,0,1,18,1,35,33377.34308341381,24896.697315195386,22062.33661439623
0,0,1,15,1,47,11204.469615091011,4384.844979522215,29232.074906256636
0,0,1,12,1,45,46435.31298609505,35268.062718268164,40058.35670878351
0,0,1,12,1,37,0.0,0.0,4934.092230103164
0,0,1,15,0,31,15644.752115146599,25206.52083693432,19985.757834515458
0,0,0,10,0,30,19681.788654527896,19554.66976801807,11749.348394073233
0,0,1,13,1,22,25185.252488608225,36915.532399904405,28694.22434394904
1,0,1,12,1,54,13451.192463825419,18083.280591493745,15279.629181953736
0,0,1,11,0,49,15006.3841608069,17414.409638437304,4577.9530355006245
0,0,1,13,0,30,34236.55501869219,36999.09218389643,34725.92780299526
0,0,0,15,1,27,26334.375814999745,36053.36683504686,37099.238743485585
1,0,1,9,1,36,7637.49637260888,6023.348327715389,5432.637327074709
0,0,0,14,0,24,8525.81053783203,9310.218108084482,6876.717693821978
0,0,1,13,1,49,54713.34263761569,56315.24305382532,53951.82022953461
1,0,1,11,1,34,38952.02264451819,48638.088859047464,54101.584487356915
0,0,1,11,0,35,6254.901117505751,0.0,18871.731423213365
1,0,1,10,0,44,21604.934141789938,29774.036846779905,32019.652545180907
0,0,1,10,0,58,18126.63868060378,12358.950882761528,688.9605848517931
0,0,1,14,1,33,19111.272101687937,17565.65182633633,26607.644321749838
0,0,1,12,1,32,30657.14952117415,23909.935985583947,51614.637007121135
1,0,1,5,1,35,3324.4278376764723,12496.96255439933,4875.469090745965
0,0,1,18,1,44,22903.452458743595,21828.230176839366,33036.72232917001
0,0,1,13,1,32,30897.40498316716,31401.012423888693,31633.911699092227
1,0,1,7,0,29,1513.6578125461147,3805.348483834139,0.0
1,0,1,12,1,40,22175.28147061462,27569.393716069684,25786.08647645857
0,0,1,18,1,41,30999.389611367696,21723.662818687906,20709.867629944896
0,0,1,16,0,29,22811.336444394226,22820.978771697064,21108.906795717478
0,0,1,12,1,34,11591.89952790483,14855.89938109455,7000.874844243297
0,0,0,13,0,44,44652.39236808794,29451.21297869754,27015.732848407813
0,0,1,11,0,28,38652.7281480596,39945.79481462229,36593.627533744184
0,0,1,14,0,53,30584.181301335644,29047.963016171205,36707.77275826569
1,0,1,8,0,29,34188.32740255636,26360.498529485303,29296.029616168064
0,0,1,13,0,30,8368.686701423325,15243.689982145912,9568.615398490965
0,0,1,11,0,25,0.0,11985.649133533303,12150.509939958729
0,0,1,12,0,24,8192.446092023572,19737.767588058337,12195.280204166296
0,0,1,14,0,30,53201.48108186908,47667.061206663566,32832.56062783171
0,0,0,17,0,16,32829.71083241781,18925.887122284206,22405.31676844721
0,0,1,12,0,40,19937.50840178511,15179.51222727152,13059.227072928581
1,0,1,12,1,28,14484.402641164028,8408.83020633252,27689.56963714167
0,0,1,14,1,61,58539.25917665089,57967.88319355757,70976.6376708333
0,0,1,18,0,34,33404.91564908231,25099.109902067365,58822.62740908022
0,0,1,15,0,23,25760.362484712914,19254.756933461333,8389.793240180534
1,0,1,18,1,32,33612.04274808218,29884.42350610514,49671.701711918024
1,0,1,9,0,29,17307.09774706434,17342.287838351385,18550.846800488463
1,0,1,7,0,38,12106.35293249004,0.0,5137.513828673684
0,0,1,15,1,26,12997.41622344774,20208.396545659274,19446.34843397609
0,1,1,5,1,55,26690.032123188597,21654.720128557663,52017.66059753173
